names,session,visit,lead,n_nmean,sdnn,rmssd,pnn50,ulf,vlf,lf,hf,lfhf,ttlpwr,ac,dc,samp_en,ap_en
lc10,27,2,Vx,372.90355,5.4362113,1.947320811718266,0.005009857600000001,0.1336386027,6.1221064,2.7176358716469937,2.5482596566555618,1.31,34.943249,-1.1529174,1.18982,1.4363451,1.236868
lc10,29,3,aVF,378.516925,5.65114835,1.7184371118484874,0,1.624395826,20.2106395,3.4507142220979183,1.5134774372252593,7.4255,58.8429055,-0.94317571,0.875526785,1.42974995,1.18148985
lc10,29,3,aVL,378.4512238095238,5.689584666666667,1.7453555398695915,0,1.9199462295238094,20.602557142857144,3.4097518459256637,1.5627449468035026,6.722857142857143,58.57239095238095,-0.9880050666666667,1.0310070476190476,1.4595973333333334,1.187975761904762
lc10,29,3,aVR,378.43749523809527,16.98868476190476,3.352115750971263,0.09401251523809524,1.871187529047619,20.06618,3.4606607108141136,3.0066186391229364,1.6476190476190475,75.28125523809524,-0.8091324523809524,2.2089214285714287,1.6641964761904762,1.029181080952381
lc10,29,3,LI,378.4655619047619,5.694112380952381,1.7487011478539953,0,1.8652311780952382,20.203670476190478,3.4121856604470295,1.5980476501371383,6.614285714285714,58.4601280952381,-0.9746813714285715,0.9506759,1.4022753333333333,1.151162761904762
lc10,29,3,LII,378.45092857142856,5.690490952380952,1.7454594918380304,0,1.873336752857143,20.323068095238096,3.4256335609463924,1.5593226762412633,7.076666666666666,58.85459238095238,-0.9161611952380952,0.8428681666666666,1.4224329523809525,1.1537020476190476
lc10,29,3,LIII,378.46460476190475,5.61025780952381,1.6873203584601788,0,1.8716477466666666,20.128273333333333,3.4147031581438716,1.5781946350984957,6.885238095238095,58.44478,-1.043046523809524,0.9110014333333333,1.4299187142857144,1.2100415714285715
lc10,29,3,Vx,378.46457142857145,5.972045904761905,1.8652902806537919,0,1.89092938,20.183889047619047,3.4186605927163263,1.653638076768867,6.31,59.02010095238095,-1.2224257619047618,1.0728573095238094,1.553200619047619,1.2349783333333333
lg92,21,1,aVF,426.0444525,9.130113825,2.1260497396739186,0,3.263469154,28.5358035,3.2691350661402194,4.616505459381196,0.268,161.0335925,-3.388522475,3.67525575,1.889182825,1.0139143625
lg92,21,1,aVL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lg92,21,1,aVR,426.042385,9.36916165,2.192619382404933,0.001082088975,3.252759460125,28.586039,3.2665782483509047,4.632797602883734,0.264,162.6515225,-3.64466475,3.945441775,1.940758875,0.9881558125
lg92,21,1,LI,426.0450725,9.14861205,2.1360993438458666,0,3.2585447146,28.532225,3.2660428522070557,4.615392196718241,0.267,160.8267875,-3.327904925,3.708088475,1.88353095,1.009493275
lg92,21,1,LII,426.0469125,9.186955025,2.1422483022020606,0,3.26635518175,28.5711685,3.273311872502509,4.62877215762919,0.266,162.47553249999999,-3.4345016250000002,3.58276905,2.0639649,1.0377591125
lg92,21,1,LIII,426.04417,9.13457385,2.126224809848799,0,3.2637873496500003,28.5801775,3.2559105030900333,4.623894632595832,0.26175,161.4397275,-3.311126625,3.679960275,1.891090025,1.018863025
lg92,21,1,Vx,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
lg92,26,2,aVF,415.7885181818182,5.8597767272727275,1.7393914865880957,0,3.1988244363636364,20.58448518181818,2.002915970674667,3.3854779120815572,0.26181818181818184,61.53901954545454,-2.0144378181818183,1.6365340909090909,1.5878076363636364,1.2214444545454546
lg92,26,2,aVL,412.42254,7.0329535,2.1446423362912688,0,4.3947832,32.38597,2.015263124592451,3.1527513389615436,0.328,67.998777,-1.7729574000000001,1.8566047,1.8768258,1.1572964000000001
lg92,26,2,aVR,415.77958181818184,6.1324075,1.856105822743918,0,3.2643962545454546,20.717757272727273,2.001282192794157,3.4042735421131876,0.2545454545454546,62.133109090909095,-2.0388371363636364,1.6778629090909092,1.5908036363636364,1.2054414090909091
lg92,26,2,LI,415.78590454545457,5.9551145454545455,1.7700451329911406,0,3.2228777454545456,20.677774545454547,2.019583338662014,3.404742796057756,0.2595454545454546,62.222561818181816,-2.058547681818182,1.6958827272727273,1.6385102272727272,1.2386280454545455
lg92,26,2,LII,415.78539545454544,5.955888181818182,1.7857636959601302,0,3.2540748954545453,20.66253840909091,2.0054500751561113,3.36973433934247,0.26590909090909093,61.18751590909091,-2.0233225,1.6819375,1.7029512727272726,1.2531440454545455
lg92,26,2,LIII,415.7874545454545,5.911581181818182,1.7647346555208872,0,3.1987869136363636,20.586067772727272,1.9911263467348053,3.3770493620758284,0.26,61.08416181818182,-2.091734909090909,1.6634083636363637,1.5703888636363637,1.2017542272727273
lg92,26,2,Vx,415.7867,5.877370727272727,1.7331544419849865,0,3.2296366454545455,20.616779227272726,2.008697818808002,3.3840444054910184,0.2631818181818182,61.589025,-1.9252710454545454,1.7472655000000001,1.6736862727272728,1.2472
rck17,14,1,aVF,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
rck17,14,1,aVL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
